2026-09-04T02:39:57Z === BENCHMARK SESSION START ===
2026-09-04T02:39:57Z host=agent kernel=7.0.0-30-generic cpus=32 mem_gb=60
2026-09-04T02:39:57Z disk: /dev/sdc3       1.8T  8.1G  1.7T   1% /mnt/2tbssd
2026-09-04T02:39:57Z mount: /dev/sdc3 on /mnt/2tbssd type ext4 (rw,nosuid,nodev,relatime,stripe=8191)
2026-09-04T02:39:57Z bmc source commit: aadd7509dc023ea09a85cc6a6f941304e8713b2a
2026-09-04T02:39:57Z bmc working tree uncommitted entries: 4
2026-09-04T02:52:32Z core run1 (ports 8563) aborted intentionally at 02:52Z: stagger decision - bmc must own the box first; datadir wiped
2026-09-04T02:58:19Z peer audit: pool median-of-medians 2.7KB/s, 22/22 workers below the 32KB/s dead-weight floor; only 2 early-kills -> floor is effectively unreachable at early-chain block sizes (min-blocks exemption keeps 10 blk/s peers alive at ~2KB/s)
2026-09-05T05:16:31Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T05:14:52Z core height= ' | oracle_tip=965568
2026-09-05T05:31:34Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T05:24:52Z core height= ' | oracle_tip=965569
2026-09-05T05:46:38Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T05:44:54Z core height= ' | oracle_tip=965571
2026-09-05T06:01:41Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T05:54:54Z core height= ' | oracle_tip=965574
2026-09-05T06:16:44Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T06:14:55Z core height= ' | oracle_tip=965575
2026-09-05T06:31:48Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T06:24:56Z core height= ' | oracle_tip=965576
2026-09-05T06:46:51Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T06:44:57Z core height= ' | oracle_tip=965577
2026-09-05T07:01:55Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T06:54:58Z core height= ' | oracle_tip=965579
2026-09-05T07:16:58Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T07:14:59Z core height= ' | oracle_tip=965581
2026-09-05T07:32:01Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T07:25:00Z core height= ' | oracle_tip=965583
2026-09-05T07:47:04Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T07:45:01Z core height= ' | oracle_tip=965584
2026-09-05T08:02:08Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T07:55:01Z core height= ' | oracle_tip=965586
2026-09-05T08:17:11Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T08:15:03Z core height= ' | oracle_tip=965588
2026-09-05T08:32:14Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T08:25:03Z core height= ' | oracle_tip=965590
2026-09-05T08:47:17Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T08:45:05Z core height= ' | oracle_tip=965590
2026-09-05T09:02:21Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T08:55:05Z core height= ' | oracle_tip=965591
2026-09-05T09:17:24Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T09:15:06Z core height= ' | oracle_tip=965592
2026-09-05T09:32:28Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T09:25:07Z core height= ' | oracle_tip=965592
2026-09-05T09:47:31Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T09:45:08Z core height= ' | oracle_tip=965593
2026-09-05T10:02:35Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T09:55:09Z core height= ' | oracle_tip=965595
2026-09-05T10:17:38Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T10:15:10Z core height= ' | oracle_tip=965596
2026-09-05T10:32:41Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T10:25:11Z core height= ' | oracle_tip=965597
2026-09-05T10:47:45Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T10:45:12Z core height= ' | oracle_tip=965599
2026-09-05T11:02:49Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T10:55:12Z core height= ' | oracle_tip=965602
2026-09-05T11:17:52Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T11:15:14Z core height= ' | oracle_tip=965604
2026-09-05T11:32:56Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T11:25:14Z core height= ' | oracle_tip=965607
2026-09-05T11:47:59Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T11:45:16Z core height= ' | oracle_tip=965609
2026-09-05T12:03:03Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T11:55:16Z core height= ' | oracle_tip=965611
2026-09-05T12:18:07Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T12:16:55Z core height=658604 (68.21% of oracle tip 965611) peers=10' | oracle_tip=965611
2026-09-05T12:33:10Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T12:26:55Z core height=663999 (68.76% of oracle tip 965613) peers=10' | oracle_tip=965613
2026-09-05T12:48:14Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T12:46:55Z core height=674729 (69.88% of oracle tip 965616) peers=10' | oracle_tip=965616
2026-09-05T13:03:17Z TICK bmc_alive=2 result=PASS  prog='' avg='' | core result=pending prog='2026-09-05T12:56:55Z core height=679621 (70.38% of oracle tip 965617) peers=10' | oracle_tip=965618
